sdreg;Hommes_0_19;Hommes_20_39;Hommes_40_59;Hommes_60_74;Hommes_75more;Femmes_0_19;Femmes_20_39;Femmes_40_59;Femmes_60_74;Femmes_75more
1;1 590 291;1 660 189;1 577 493;786 820;338 304;1 527 394;1 759 621;1 640 610;912 199;524 358
2;324 823;303 777;355 674;259 686;121 116;305 971;295 511;362 516;285 678;185 442
3;710 056;645 808;741  067;526 189;236 874;378 729;361 923;439 764;343 023;220 185
4;781 387;722 082;754 915;472 699;175 376;744 409;728 380;771 145;542 809;302 090
5;650 031;660 761;720 343;480 522;201 374;615 627;651 911;732 757;531 433;316 528
6;1 546 946;1 454 076;1 698 485;1 199 611;555 300;1 467 014;1 445 016;1 740 606;1 343 777;867 087
7;683 626;672 644;757 638;534 060;262 912;649 277;681 002;793 345;596 802;390 870
8;999 921;962 164;1 040 046;643 239;304 834;950 333;967 271;1 059 284;719 260;468 009
9;579 528;557 425;640 187;439 121;235 980;547 197;577 014;686 866;508 938;355 584
